FoodCodes	drxfcsd	Main.food.description	Old.Main.food.description	ModCode	FoodID
32130410	EGG OMELET OR SCRAMBLED EGG, WITH TOMATOES, FAT NOT ADDED IN	Egg_omelet_or_scrambled_egg_with_tomatoes_fat_not_added_in_cooking	Egg omelet or scrambled egg, with tomatoes, fat not added in cooking	0	32130410.0
32130420	EGG OMELET OR SCRAMBLED EGG, WITH TOMATOES, NS AS TO FAT ADD	Egg_omelet_or_scrambled_egg_with_tomatoes_NS_as_to_fat_added_in_cooking	Egg omelet or scrambled egg, with tomatoes, NS as to fat added in cooking	0	32130420.0
32130430	EGG OMELET OR SCRAMBLED EGG, W/ DARK-GREEN VEGS, FAT ADDED	Egg_omelet_or_scrambled_egg_with_dark_green_vegetables_fat_added_in_cooking	Egg omelet or scrambled egg, with dark-green vegetables, fat added in cooking	0	32130430.0
32130440	EGG OMELET OR SCRAMBLED EGG, W/DARK-GREEN VEGS, FAT NOT ADDE	Egg_omelet_or_scrambled_egg_with_dark_green_vegetables_fat_not_added_in_cooking	Egg omelet or scrambled egg, with dark-green vegetables, fat not added in cooking	0	32130440.0
32130450	EGG OMELET OR SCRAMBLED EGG, W/ DARK-GREEN VEGS,NS AS TO FAT	Egg_omelet_or_scrambled_egg_with_dark_green_vegetables_NS_as_to_fat_added_in_cooking	Egg omelet or scrambled egg, with dark-green vegetables, NS as to fat added in cooking	0	32130450.0
32130460	EGG OMELET OR SCR EGG, W/TOMATOES  DK-GREEN VEGS, FAT ADDED	Egg_omelet_or_scrambled_egg_with_tomatoes_and_dark_green_vegetables_fat_added_in_cooking	Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, fat added in cooking	0	32130460.0
32130490	EGG OMELET OR SCR EGG, W/ OTHER VEGS, FAT ADDED	Egg_omelet_or_scrambled_egg_with_vegetables_other_than_dark_green_and_or_tomatoes_fat_added_in_cooking	Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, fat added in cooking	0	32130490.0
32130500	EGG OMELET OR SCRAMBLED EGG, WITH OTHER VEGS. FAT NOT ADDED	Egg_omelet_or_scrambled_egg_with_vegetables_other_than_dark_green_and_or_tomatoes_fat_not_added_in_cooking	Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, fat not added in cooking	0	32130500.0
32130510	EGG OMELET OR SCRAMBLED EGG, W/ OTHER VEGS, NS FAT	Egg_omelet_or_scrambled_egg_with_vegetables_other_than_dark_green_and_or_tomatoes_NS_as_to_fat_added_in_cooking	Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, NS as to fat added in cooking	0	32130510.0
32130600	EGG OMELET OR SCR EGG, W/CHEESE  TOMATOES, FAT ADDED	Egg_omelet_or_scrambled_egg_with_cheese_and_tomatoes_fat_added_in_cooking	Egg omelet or scrambled egg, with cheese and tomatoes, fat added in cooking	0	32130600.0
32130620	EGG OMELET OR SCR EGG, W/CHEESE  TOMATOES, NS FAT ADDED	Egg_omelet_or_scrambled_egg_with_cheese_and_tomatoes_NS_as_to_fat_added_in_cooking	Egg omelet or scrambled egg, with cheese and tomatoes, NS as to fat added in cooking	0	32130620.0
32130630	EGG OMELET OR SCR EGG, W/ CHEESEDK-GRN VEGS, FAT ADDED	Egg_omelet_or_scrambled_egg_with_cheese_and_dark_green_vegetables_fat_added_in_cooking	Egg omelet or scrambled egg, with cheese and dark-green vegetables, fat added in cooking	0	32130630.0
32130650	EGG OMELET OR SCR EGG, W/ CHEESEDK-GRN VEGS, NS FAT ADDED	Egg_omelet_or_scrambled_egg_with_cheese_and_dark_green_vegetables_NS_as_to_fat_added_in_cooking	Egg omelet or scrambled egg, with cheese and dark-green vegetables, NS as to fat added in cooking	0	32130650.0
32130660	EGG OMELET OR SCR EGG, W/CHEESE, TOM  DK-GRN VEGS,FAT ADDED	Egg_omelet_or_scrambled_egg_with_cheese_tomatoes_and_dark_green_vegetables_fat_added_in_cooking	Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, fat added in cooking	0	32130660.0
32130680	EGG OMELET OR SCR EGG, W/CHEESE, TOM  DK-GRN VEGS,NS FAT AD	Egg_omelet_or_scrambled_egg_with_cheese_tomatoes_and_dark_green_vegetables_NS_as_to_fat_added_in_cooking	Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, NS as to fat added in cooking	0	32130680.0
32130690	EGG OMELET OR SCR EGG, W/CHEESE  OTHER VEGS, FAT ADDED	Egg_omelet_or_scrambled_egg_with_cheese_and_vegetables_other_than_dark_green_and_or_tomatoes_fat_added_in_cooking	Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, fat added in cooking	0	32130690.0
32130700	EGG OMELET OR SCREGG, W/CHEESE  OTHER VEGS, FAT NOT ADDED	Egg_omelet_or_scrambled_egg_with_cheese_and_vegetables_other_than_dark_green_and_or_tomatoes_fat_not_added_in_cooking	Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, fat not added in cooking	0	32130700.0
32130710	EGG OMELET OR SCREGG, W/CHEESE  OTHER VEGS, NS FAT ADDED	Egg_omelet_or_scrambled_egg_with_cheese_and_vegetables_other_than_dark_green_and_or_tomatoes_NS_as_to_fat_added_in_cooking	Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, NS as to fat added in cooking	0	32130710.0
