FoodCode	DRXFCSD	Main.food.description	Old.Main.food.description	ModCode	FoodID
75209021	BRUSSELS SPROUTS, COOKED, FROM FRESH, FAT ADDED IN COOKING,	Brussels_sprouts_cooked_from_fresh_fat_added_in_cooking_NS_as_to_type_of_fat	Brussels sprouts, cooked, from fresh, fat added in cooking, NS as to type of fat	0	75209021.0
75209030	BRUSSELS SPROUTS, COOKED, NS AS TO FORM, MADE WITH OIL	Brussels_sprouts_cooked_NS_as_to_form_made_with_oil	Brussels sprouts, cooked, NS as to form, made with oil	0	75209030.0
75209040	BRUSSELS SPROUTS, COOKED, FROM FRESH, MADE WITH OIL	Brussels_sprouts_cooked_from_fresh_made_with_oil	Brussels sprouts, cooked, from fresh, made with oil	0	75209040.0
75209041	BRUSSELS SPROUTS, COOKED, FROM FRESH, MADE WITH BUTTER	Brussels_sprouts_cooked_from_fresh_made_with_butter	Brussels sprouts, cooked, from fresh, made with butter	0	75209041.0
75209050	BRUSSELS SPROUTS, COOKED, FROM FROZEN, MADE WITH OIL	Brussels_sprouts_cooked_from_frozen_made_with_oil	Brussels sprouts, cooked, from frozen, made with oil	0	75209050.0
75209052	BRUSSELS SPROUTS, COOKED, FROM FROZEN, MADE WITH MARGARINE	Brussels_sprouts_cooked_from_frozen_made_with_margarine	Brussels sprouts, cooked, from frozen, made with margarine	0	75209052.0
75210000	CABBAGE, CHINESE, COOKED, NS AS TO FAT ADDED IN COOKING	Cabbage_Chinese_cooked_NS_as_to_fat_added_in_cooking	Cabbage, Chinese, cooked, NS as to fat added in cooking	0	75210000.0
75210010	CABBAGE, CHINESE, COOKED, FAT NOT ADDED IN COOKING	Cabbage_Chinese_cooked_fat_not_added_in_cooking	Cabbage, Chinese, cooked, fat not added in cooking	0	75210010.0
75210021	CABBAGE, CHINESE, COOKED, MADE WITH OIL	Cabbage_Chinese_cooked_made_with_oil	Cabbage, Chinese, cooked, made with oil	0	75210021.0
75211010	CABBAGE, GREEN, COOKED, NS AS TO FAT ADDED IN COOKING	Cabbage_green_cooked_NS_as_to_fat_added_in_cooking	Cabbage, green, cooked, NS as to fat added in cooking	0	75211010.0
75211020	CABBAGE, GREEN, COOKED, FAT NOT ADDED IN COOKING	Cabbage_green_cooked_fat_not_added_in_cooking	Cabbage, green, cooked, fat not added in cooking	0	75211020.0
75211030	CABBAGE, GREEN, COOKED, FAT ADDED IN COOKING, NS AS TO TYPE	Cabbage_green_cooked_fat_added_in_cooking_NS_as_to_type_of_fat	Cabbage, green, cooked, fat added in cooking, NS as to type of fat	0	75211030.0
75211031	CABBAGE, GREEN, COOKED, MADE WITH OIL	Cabbage_green_cooked_made_with_oil	Cabbage, green, cooked, made with oil	0	75211031.0
75211032	CABBAGE, GREEN, COOKED, MADE WITH BUTTER	Cabbage_green_cooked_made_with_butter	Cabbage, green, cooked, made with butter	0	75211032.0
75211033	CABBAGE, GREEN, COOKED, MADE WITH MARGARINE	Cabbage_green_cooked_made_with_margarine	Cabbage, green, cooked, made with margarine	0	75211033.0
75212010	CABBAGE, RED, COOKED, FAT NOT ADDED IN COOKING	Cabbage_red_cooked_fat_not_added_in_cooking	Cabbage, red, cooked, fat not added in cooking	0	75212010.0
75212021	CABBAGE, RED, COOKED, MADE WITH OIL	Cabbage_red_cooked_made_with_oil	Cabbage, red, cooked, made with oil	0	75212021.0
75213100	CACTUS, COOKED, NS AS TO FAT ADDED IN COOKING	Cactus_cooked_NS_as_to_fat_added_in_cooking	Cactus, cooked, NS as to fat added in cooking	0	75213100.0
75213110	CACTUS, COOKED, FAT NOT ADDED IN COOKING	Cactus_cooked_fat_not_added_in_cooking	Cactus, cooked, fat not added in cooking	0	75213110.0
75213121	CACTUS, COOKED, MADE WITH OIL	Cactus_cooked_made_with_oil	Cactus, cooked, made with oil	0	75213121.0
75214000	CAULIFLOWER, COOKED, NS AS TO FORM, NS AS TO FAT ADDED IN CO	Cauliflower_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	Cauliflower, cooked, NS as to form, NS as to fat added in cooking	0	75214000.0
75214001	CAULIFLOWER, COOKED, FROM FRESH, NS AS TO FAT ADDED IN COOKI	Cauliflower_cooked_from_fresh_NS_as_to_fat_added_in_cooking	Cauliflower, cooked, from fresh, NS as to fat added in cooking	0	75214001.0
75214010	CAULIFLOWER, COOKED, NS AS TO FORM, FAT NOT ADDED IN COOKING	Cauliflower_cooked_NS_as_to_form_fat_not_added_in_cooking	Cauliflower, cooked, NS as to form, fat not added in cooking	0	75214010.0
75214011	CAULIFLOWER, COOKED, FROM FRESH, FAT NOT ADDED IN COOKING	Cauliflower_cooked_from_fresh_fat_not_added_in_cooking	Cauliflower, cooked, from fresh, fat not added in cooking	0	75214011.0
75214012	CAULIFLOWER, COOKED, FROM FROZEN, FAT NOT ADDED IN COOKING	Cauliflower_cooked_from_frozen_fat_not_added_in_cooking	Cauliflower, cooked, from frozen, fat not added in cooking	0	75214012.0
75214024	CAULIFLOWER, COOKED, NS AS TO FORM, MADE WITH OIL	Cauliflower_cooked_NS_as_to_form_made_with_oil	Cauliflower, cooked, NS as to form, made with oil	0	75214024.0
75214027	CAULIFLOWER, COOKED, FROM FRESH, MADE WITH OIL	Cauliflower_cooked_from_fresh_made_with_oil	Cauliflower, cooked, from fresh, made with oil	0	75214027.0
75214028	CAULIFLOWER, COOKED, FROM FRESH, MADE WITH BUTTER	Cauliflower_cooked_from_fresh_made_with_butter	Cauliflower, cooked, from fresh, made with butter	0	75214028.0
75214029	CAULIFLOWER, COOKED, FROM FRESH, MADE WITH MARGARINE	Cauliflower_cooked_from_fresh_made_with_margarine	Cauliflower, cooked, from fresh, made with margarine	0	75214029.0
75214030	CAULIFLOWER, COOKED, FROM FROZEN, MADE WITH OIL	Cauliflower_cooked_from_frozen_made_with_oil	Cauliflower, cooked, from frozen, made with oil	0	75214030.0
75214031	CAULIFLOWER, COOKED, FROM FROZEN, MADE WITH BUTTER	Cauliflower_cooked_from_frozen_made_with_butter	Cauliflower, cooked, from frozen, made with butter	0	75214031.0
75215000	CELERY, COOKED, NS AS TO FAT ADDED IN COOKING	Celery_cooked_NS_as_to_fat_added_in_cooking	Celery, cooked, NS as to fat added in cooking	0	75215000.0
75215010	CELERY, COOKED, FAT NOT ADDED IN COOKING	Celery_cooked_fat_not_added_in_cooking	Celery, cooked, fat not added in cooking	0	75215010.0
75215030	CELERY, COOKED, MADE WITH OIL	Celery_cooked_made_with_oil	Celery, cooked, made with oil	0	75215030.0
75215511	CHRISTOPHINE, COOKED, FAT ADDED IN COOKING	Christophine_cooked_fat_added_in_cooking	Christophine, cooked, fat added in cooking	0	75215511.0
75216000	CORN, COOKED, NS AS TO FORM, NS AS TO COLOR, NS AS TO FAT AD	Corn_cooked_NS_as_to_form_NS_as_to_color_NS_as_to_fat_added_in_cooking	Corn, cooked, NS as to form, NS as to color, NS as to fat added in cooking	0	75216000.0
75216011	CORN, COOKED, FROM FRESH, NS AS TO COLOR, FAT NOT ADDED IN C	Corn_cooked_from_fresh_NS_as_to_color_fat_not_added_in_cooking	Corn, cooked, from fresh, NS as to color, fat not added in cooking	0	75216011.0
75216013	CORN, COOKED, FROM CANNED, NS AS TO COLOR, FAT NOT ADDED IN	Corn_cooked_from_canned_NS_as_to_color_fat_not_added_in_cooking	Corn, cooked, from canned, NS as to color, fat not added in cooking	0	75216013.0
75216028	CORN, COOKED, FROM FRESH, NS AS TO COLOR, MADE WITH BUTTER	Corn_cooked_from_fresh_NS_as_to_color_made_with_butter	Corn, cooked, from fresh, NS as to color, made with butter	0	75216028.0
75216036	CORN, COOKED, FROM CANNED, NS AS TO COLOR, MADE WITH MARGARI	Corn_cooked_from_canned_NS_as_to_color_made_with_margarine	Corn, cooked, from canned, NS as to color, made with margarine	0	75216036.0
75216053	CORN, FROM CANNED, NS AS TO COLOR, CREAM STYLE	Corn_from_canned_NS_as_to_color_cream_style	Corn, from canned, NS as to color, cream style	0	75216053.0
75216070	CORN, DRIED, COOKED	Corn_dried_cooked	Corn, dried, cooked	0	75216070.0
75216100	CORN, YELLOW, COOKED, NS AS TO FORM, NS AS TO FAT ADDED IN C	Corn_yellow_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	Corn, yellow, cooked, NS as to form, NS as to fat added in cooking	0	75216100.0
75216102	CORN, YELLOW, COOKED, FROM FROZEN, NS AS TO FAT ADDED IN COO	Corn_yellow_cooked_from_frozen_NS_as_to_fat_added_in_cooking	Corn, yellow, cooked, from frozen, NS as to fat added in cooking	0	75216102.0
75216103	CORN, YELLOW, COOKED, FROM CANNED, NS AS TO FAT ADDED IN COO	Corn_yellow_cooked_from_canned_NS_as_to_fat_added_in_cooking	Corn, yellow, cooked, from canned, NS as to fat added in cooking	0	75216103.0
75216110	CORN, YELLOW, COOKED, NS AS TO FORM, FAT NOT ADDED IN COOKIN	Corn_yellow_cooked_NS_as_to_form_fat_not_added_in_cooking	Corn, yellow, cooked, NS as to form, fat not added in cooking	0	75216110.0
75216111	CORN, YELLOW, COOKED, FROM FRESH, FAT NOT ADDED IN COOKING	Corn_yellow_cooked_from_fresh_fat_not_added_in_cooking	Corn, yellow, cooked, from fresh, fat not added in cooking	0	75216111.0
