FoodCode	DRXFCSD	Main.food.description	Old.Main.food.description	ModCode	FoodID
71501045	POTATO, MASHED, FROM DRY MIX, MADE WITH MILK, WITH CHEESE	Potato_mashed_from_dry_mix_made_with_milk_with_cheese	Potato, mashed, from dry mix, made with milk, with cheese	0	71501045.0
71501054	POTATO, MASHED, FROM DRY MIX, MADE WITH MILK, WITH GRAVY	Potato_mashed_from_dry_mix_made_with_milk_with_gravy	Potato, mashed, from dry mix, made with milk, with gravy	0	71501054.0
71501061	POTATO, MASHED, READY-TO-HEAT, NFS	Potato_mashed_ready_to_heat_NFS	Potato, mashed, ready-to-heat, NFS	0	71501061.0
71501071	POTATO, MASHED, READY-TO-HEAT, WITH CHEESE	Potato_mashed_ready_to_heat_with_cheese	Potato, mashed, ready-to-heat, with cheese	0	71501071.0
71501075	POTATO, MASHED, READY-TO-HEAT, WITH GRAVY	Potato_mashed_ready_to_heat_with_gravy	Potato, mashed, ready-to-heat, with gravy	0	71501075.0
71505010	POTATO TOTS, FAST FOOD / RESTAURANT	Potato_tots_fast_food_restaurant	Potato tots, fast food / restaurant	0	71505010.0
71505040	POTATO TOTS, FROZEN, BAKED	Potato_tots_frozen_baked	Potato tots, frozen, baked	0	71505040.0
71507005	POTATO, BAKED, PEEL NOT EATEN, WITH BUTTER	Potato_baked_peel_not_eaten_with_butter	Potato, baked, peel not eaten, with butter	0	71507005.0
71507010	POTATO, BAKED, PEEL NOT EATEN, WITH SOUR CREAM	Potato_baked_peel_not_eaten_with_sour_cream	Potato, baked, peel not eaten, with sour cream	0	71507010.0
71508001	POTATO, BAKED, PEEL EATEN	Potato_baked_peel_eaten	Potato, baked, peel eaten	0	71508001.0
71508010	POTATO, BAKED, PEEL EATEN, WITH SOUR CREAM	Potato_baked_peel_eaten_with_sour_cream	Potato, baked, peel eaten, with sour cream	0	71508010.0
71602010	POTATO SALAD, GERMAN STYLE	Potato_salad_German_style	Potato salad, German style	0	71602010.0
71602950	POTATO SALAD, FROM RESTAURANT	Potato_salad_from_restaurant	Potato salad, from restaurant	0	71602950.0
71603050	POTATO SALAD, MADE WITH ANY TYPE OF FAT FREE DRESSING	Potato_salad_made_with_any_type_of_fat_free_dressing	Potato salad, made with any type of fat free dressing	0	71603050.0
71801000	POTATO SOUP, NS AS TO MADE WITH MILK OR WATER	Potato_soup_NS_as_to_made_with_milk_or_water	Potato soup, NS as to made with milk or water	0	71801000.0
71900100	PLANTAIN, BOILED, NS AS TO GREEN OR RIPE	Plantain_boiled_NS_as_to_green_or_ripe	Plantain, boiled, NS as to green or ripe	0	71900100.0
