	BMXBMI	F_CITMLB	F_OTHER	F_JUICE	F_TOTAL	V_DRKGR	V_REDOR_TOMATO	V_REDOR_OTHER	V_REDOR_TOTAL	V_STARCHY_POTATO	V_STARCHY_OTHER	V_STARCHY_TOTAL	V_OTHER	V_TOTAL	V_LEGUMES	G_WHOLE	G_REFINED	G_TOTAL	PF_MEAT	PF_CUREDMEAT	PF_ORGAN	PF_POULT	PF_SEAFD_HI	PF_SEAFD_LOW	PF_MPS_TOTAL	PF_EGGS	PF_SOY	PF_NUTSDS	PF_LEGUMES	PF_TOTAL	D_MILK	D_YOGURT	D_CHEESE	D_TOTAL	OILS	SOLID_FATS	ADD_SUGARS	A_DRINKS
V_STARCHY_OTHER	-0.0519640886365001	0.0311490972574874	0.0104831999064449	0.0159743841057186	0.0270984650679998	0.0269242558163669	-0.0943056347950389	0.090452482943414	-0.0404040589230062	0.0583077389262818	1	0.484615460542861	0.0124527790746325	0.270982892456356	-0.0834364271233408	0.0599225607641336	-0.0651022872291978	-0.0402306577328039	0.0475669397838852	-0.0245076032713532	-0.0502607579819444	-0.0337637246451899	-0.0148730760121336	0.079652644272828	0.0294920020365395	0.0765410879387874	-0.0374961909719359	-0.0982828195655632	-0.0824551414794793	-0.0018007985545399	-0.0653835669610982	0.0270746231310139	-0.111128220585787	-0.110654392176242	-0.0481629350643304	-0.0818806392914018	0.0138753590901976	-0.0236756376947185
V_STARCHY_TOTAL	-0.0144695627434475	0.000436647635875361	-0.125842508305866	0.0232895503993893	-0.0743614606383357	-0.119395250154523	0.0483699873772134	-0.0121626766625844	0.0365624925700912	0.901495923597145	0.484615460542861	1	0.0459180763694284	0.559396524787328	-0.0754693987256378	-0.0753693591059235	-0.0738651383452905	-0.103193463006122	0.211364218806428	0.142498023053371	0.0588286002279975	-0.079717246241087	0.0765400220348928	-0.0591141594826463	0.130020151405344	0.106789241948942	-0.090482480623742	-0.138398840646518	-0.0748566004179671	0.0707502566137006	-0.0473163279695461	-0.0896866011042342	-0.0703978818222024	-0.0942402752400308	0.151852223617317	0.122763902816507	0.112053615684972	0.140434192039386
V_OTHER	-0.0127051961853969	0.256142702694441	0.117955349478909	-0.135465481553833	0.130170375014648	0.23504040237731	0.128113903834469	0.317535672580039	0.258672776277461	0.0462435998107559	0.0124527790746325	0.0459180763694284	1	0.684546548149049	-0.0156848139328198	0.237591170119386	0.0620634023310806	0.1566601404453	0.10221380885351	-0.0517980162334263	0.0405614323527244	0.0931332633027737	0.171118230269324	0.0865386094091001	0.190377036899569	0.0730147496688589	0.0437826907249953	0.11723618573613	-0.0154250655257653	0.226548298018346	-0.0240043695139919	0.168668610623353	-0.0124673996892819	0.00942505130805489	0.2841970545087	0.00864943500357312	-0.0198777148945343	-0.0500546864062784
V_TOTAL	-0.0500198072699609	0.149191510538319	0.0692975999385584	-0.022369580191816	0.100366906094303	0.431677248661518	0.450843824934648	0.405838512638148	0.581029512478385	0.504347766905313	0.270982892456356	0.559396524787328	0.684546548149049	1	0.00564348207369374	0.172815094726336	0.0252215168678626	0.0942777172616452	0.19395443587784	0.0376370145715732	0.0500760357859399	-0.0250866835920479	0.182025299165103	0.0333428980069312	0.184384526752279	0.106683911118846	-0.0339933816912327	-0.000201505741451373	0.00574055148260221	0.176401183869703	-0.00264035969263384	0.104399150121405	0.00927958210556934	0.0262689008928553	0.316383093960016	0.145541550450211	0.0488842878648274	0.0414950884780028
V_LEGUMES	0.0154251169630765	-0.0136835445125209	0.0169463670975588	0.0642958420712576	0.0330300917763618	0.0449442376773015	0.14179910393645	-0.0269219690585936	0.111225926383987	-0.0448491114840136	-0.0834364271233408	-0.0754693987256378	-0.0156848139328198	0.00564348207369374	1	0.0448485434477678	0.162742456554856	0.178703410599855	-0.0372436950006716	-0.100173243052483	0.0183054930928684	-0.0817135873502262	0.0014593103539743	-0.0162194660456687	-0.127173829110812	0.0562822871058642	-0.00480952286679963	-0.0854355475334886	0.999943426117042	-0.132084486818955	0.132222078532096	-0.0197168848182762	0.00575142106947934	0.101569732265385	0.0740182176188277	-0.0144526811693729	0.0297534272251665	-0.105295602398872
G_WHOLE	0.00313329444263091	0.0902432924966633	0.310419932659432	0.113277299073634	0.295164147817058	0.202095597442032	0.010578612389157	0.187729383876792	0.0960911785754906	-0.115664479043583	0.0599225607641336	-0.0753693591059235	0.237591170119386	0.172815094726336	0.0448485434477678	1	-0.171801637333521	0.231782226298476	-0.117479281137375	0.0250702041828612	-0.0209728782593258	-0.0711109626000407	0.0521614879165618	0.0742466391778399	-0.0498777465274552	-0.051702333918698	0.129133975092648	0.186979324624571	0.0433420734457132	0.0300503395869123	0.292150643562563	0.121577633701467	-0.0247957712383349	0.246243783155646	0.0541510034673405	-0.0117526713632828	-0.103076398478562	-0.0976365985872117
G_REFINED	0.130142652237767	0.12214457163114	-0.127959869172517	-0.0969319994198309	-0.0754240946323569	-0.106109001063116	0.190793961956604	0.0410406472244483	0.185408142556212	-0.0520893667298107	-0.0651022872291978	-0.0738651383452905	0.0620634023310806	0.0252215168678626	0.162742456554856	-0.171801637333521	1	0.918483599956498	0.0661057796715205	0.0760724338069075	0.142472665828391	-0.0643466515430478	0.0767039707508732	0.1167872968093	0.12059302137657	0.200068531216185	0.021200138828164	-0.121961530925019	0.162482761586929	0.0930131367884204	0.0227015781840462	-0.0332847278400063	0.367159546408858	0.216571519512234	0.343618252026518	0.41519095395894	0.168973750940977	-0.128088439730095
G_TOTAL	0.129767111260498	0.156837762822375	-0.00174275605891078	-0.0502427933992345	0.0440095863619443	-0.0236505227361286	0.192645949085689	0.115885336491134	0.221654835082884	-0.0978665622535513	-0.0402306577328039	-0.103193463006122	0.1566601404453	0.0942777172616452	0.178703410599855	0.231782226298476	0.918483599956498	1	0.0181166920345955	0.0851815730931772	0.132265466640744	-0.0920849561743419	0.0966803508624137	0.145126168666283	0.0990572079069147	0.176802801837066	0.0727720109665918	-0.0453721377065874	0.177842236323803	0.103908822582344	0.13969401106853	0.0159376334618893	0.352597761831831	0.312702481083414	0.361043420339746	0.405262228439801	0.125475341257715	-0.165674886988945
PF_MEAT	0.1643204551104	0.0127868864524692	-0.135219175982682	-0.0817896378523333	-0.12029732794809	-0.0482627818618731	0.143271134401224	-0.0356944422426071	0.108450799992463	0.217688675309624	0.0475669397838852	0.211364218806428	0.10221380885351	0.19395443587784	-0.0372436950006716	-0.117479281137375	0.0661057796715205	0.0181166920345955	1	-0.0863065078709961	0.00832568864963805	-0.0946325643483104	-0.103155225763927	-0.114237988349252	0.390416659312581	0.0516223121051488	0.00950696383332203	-0.0573311415163843	-0.0367364453260116	0.318203020239581	-0.0172954859114843	-0.0412935652844344	0.05683427133481	0.0174524356369929	0.113001260858252	0.250500004921854	0.113964524679189	-0.0116770548744251
PF_CUREDMEAT	0.100217451963799	-0.105129859287377	-0.0403889915537906	0.05208432444102	-0.0495405370416048	-0.0967220846323831	0.0251473235494532	0.0290378261673029	0.0353706002994318	0.174754078232631	-0.0245076032713532	0.142498023053371	-0.0517980162334263	0.0376370145715732	-0.100173243052483	0.0250702041828612	0.0760724338069075	0.0851815730931772	-0.0863065078709961	1	-0.0377526121677497	-0.10859254027771	-0.0112449544938209	0.0209971256805404	0.34467517528567	0.294183323252717	-0.0435341595680085	-0.0425190471823976	-0.0990994783435305	0.332243729658713	0.0140062770021091	-0.0959963369375148	0.0292877486862019	0.00776231301885958	0.15949761626752	0.323701476915393	0.119641589260422	0.138882012969516
