	BMXBMI	PROT	CARB	SUGR	FIBE	TFAT	SFAT	MFAT	PFAT	CHOL	ATOC	ATOA	RET	VARA	ACAR	BCAR	CRYP	LYCO	LZ	VB1	VB2	NIAC	VB6	FOLA	FA	FF	FDFE	CHL	VB12	B12A	VC	VD	VK	CALC	PHOS	MAGN	IRON	ZINC	COPP	SODI	POTA	SELE	CAFF	THEO	ALCO	S040	S060	S080	S100	S120	S140	S160	S180	M161	M181	M201	M221	P182	P183	P184	P204	P205	P225	P226
VD	-0.0868767694605602	0.422494576951469	0.40005919135512	0.417322757849753	0.274402323990198	0.281038271627292	0.273654605516645	0.25005500892535	0.228606366573072	0.251242473537544	0.266307671365667	0.139568606061352	0.524003662814625	0.44989138281833	0.0804770432510306	0.152381267915004	0.151284848370008	0.12176818671682	0.140444643356441	0.486584467906267	0.536535632799521	0.328610377292311	0.420960444975176	0.353096350661809	0.24365679602171	0.300646017408277	0.330242119388534	0.436228147845788	0.644368692081283	0.206844673512329	0.332121603526992	1	0.130419266505226	0.561816738364555	0.56805196945326	0.427131780715588	0.35730609986358	0.380449290649034	0.321580816190099	0.320161242934746	0.547893851914966	0.434059880128583	-0.00821400927584084	0.0415679436243307	-0.108012019973963	0.261311965475313	0.256660993484859	0.133758041299635	0.180106510273837	0.0337686836673791	0.22071621655118	0.289037774931063	0.267702595837579	0.214966473270189	0.248196077632634	0.411011173343939	0.164669806717792	0.203410649775778	0.235056150359738	0.36723167342037	0.327296967983181	0.597198136375048	0.58326829700238	0.656332419486859
VK	-0.107508403539615	0.192235653771247	0.145348580719275	0.0967680592165942	0.353377473370053	0.188852328254404	0.142712499864075	0.176422670186795	0.217490396799823	0.0591313688674671	0.3617918036246	0.0772118643564345	0.113371435473177	0.403567524117478	0.176586502286372	0.521316609969361	0.0571420874766718	0.0705352853266404	0.911547282587878	0.167372542553134	0.152973991279251	0.134197787360688	0.217093057226837	0.285181019601468	0.0314727161387578	0.446925172496585	0.208536578438465	0.156254853088951	0.124819082693737	0.0505704343297132	0.229772458527989	0.130419266505226	1	0.140011680956153	0.197187252259907	0.330319176426263	0.190257959748659	0.175619738060103	0.363894757033975	0.165959361979716	0.298760394069675	0.186710285631556	-0.0545784878296206	-0.0261077055012768	-0.0455277599107074	0.13220625668371	0.139013678119393	0.152809049906465	0.158303760195157	0.104692618806638	0.11677965088239	0.155844811004533	0.0709774087801196	0.0869758189551849	0.180910676919396	0.116523022355514	0.0529361160871233	0.208442294439161	0.226159699407212	0.109574672250319	0.0666263073808209	0.14890009018216	0.0867549253616036	0.168411396677584
CALC	0.0864940782397468	0.571142477907545	0.538368235843472	0.418495223586926	0.468499040986284	0.475362233132985	0.543446136707539	0.405738014944875	0.319817738149147	0.19104212061511	0.403218678979689	0.255439564651416	0.603496160502749	0.508023268183816	0.133943767112122	0.157187330407906	0.0803874365671065	0.234009144204221	0.100565082953477	0.584266463099865	0.701564500325789	0.413684662883717	0.392785996762748	0.48816330533442	0.380221234451463	0.361248471903162	0.47138782495605	0.339594089463748	0.549022710016168	0.183309433045538	0.273371931660081	0.561816738364555	0.140011680956153	1	0.783253651079223	0.58611857504373	0.499607312808028	0.604449380725976	0.479037179295404	0.509337975903524	0.609203210654927	0.53832130163131	0.0812593396356672	0.0511297007425722	-0.202721701164019	0.570607026926008	0.543291068025765	0.304287264803894	0.469300257587578	0.115489509946879	0.524714306195724	0.5279610467967	0.496285401793459	0.287445004537327	0.40082996708609	0.273556128566954	0.092115515072955	0.31823394749458	0.290954523209353	0.221376347362289	0.0894677429492381	0.130717969395877	0.0798718182919882	0.131575672890853
PHOS	0.130305609260791	0.87288120971637	0.702047860471153	0.520268481027974	0.588580078195299	0.722064009273867	0.677845662629286	0.679761792218048	0.589142296794915	0.529539320481095	0.611792205857553	0.202740758346674	0.48940226568938	0.460701906669444	0.163880561330649	0.200509003526064	0.131509364432846	0.247157147226906	0.120774267983356	0.715526039538242	0.788000178476875	0.681016948845986	0.64340676169018	0.532358966723068	0.320018358387097	0.511061787773594	0.480889110670349	0.705808151936525	0.639778349581445	0.164410916941579	0.337786585474624	0.56805196945326	0.197187252259907	0.783253651079223	1	0.776877695754239	0.610252482283682	0.747496365359833	0.677582823374466	0.76587216798784	0.823404632164186	0.794677935123988	0.112234355457089	0.197670192612681	-0.0976342154447605	0.465767117053663	0.448335428250591	0.259966756177934	0.403273032454054	0.135042491543929	0.475910741230375	0.714961106431732	0.67202603687237	0.522304159882296	0.676351148485021	0.535061592190604	0.136138306679782	0.584731687802417	0.501910635284319	0.238913981318363	0.433678057940156	0.25786422634671	0.239314278096119	0.305461558796994
MAGN	0.0229244698733566	0.648145183257321	0.636716301500337	0.444675781408762	0.754559620936935	0.490830833639738	0.382557972174064	0.495449608279427	0.466710410311762	0.246716510934217	0.613458920502218	0.255137218951825	0.363180175714681	0.448823866738829	0.229519105847493	0.311385750368627	0.218033541126593	0.20854220937769	0.276441731235215	0.567930654090061	0.603366376375382	0.624738336597916	0.65573077843845	0.596996119520086	0.281159163537516	0.669718399122597	0.512239379859429	0.515263351206215	0.461818884899072	0.166456975427803	0.494313659908041	0.427131780715588	0.330319176426263	0.58611857504373	0.776877695754239	1	0.579701556738581	0.624971551113488	0.858614135077363	0.4843935175212	0.830103917682794	0.587061109167237	0.117467437352974	0.223258650409051	-0.0271623887501729	0.301344967319236	0.279462289326556	0.135619977735024	0.238647074935843	0.0505476863078678	0.248103870172779	0.412042593787188	0.350317580210675	0.249541645199968	0.502683155067403	0.423596908756064	0.0921318239248232	0.468217127535066	0.39149400477487	0.219697477631791	0.196883018548114	0.19871037717959	0.135370910681397	0.233501403381047
IRON	0.0124023762337604	0.495297094133476	0.601134031579248	0.324081759112496	0.598426070996791	0.413228528444434	0.394615074697483	0.378506107837045	0.343290700802988	0.231309143996458	0.375664158367254	0.12206337439929	0.432629857418475	0.443900541792231	0.17085401451275	0.23493505885946	0.106778821917726	0.322737263983917	0.15598617623681	0.742481337250985	0.574043052498784	0.584945642575177	0.611218191789272	0.806571658031969	0.750814734591714	0.443292136806114	0.822498707641979	0.387808116593231	0.453153664574447	0.368931491160119	0.303790543706545	0.35730609986358	0.190257959748659	0.499607312808028	0.610252482283682	0.579701556738581	1	0.651422000111775	0.57280910508987	0.516785320517806	0.582955159013173	0.463887940916196	0.0477467408770817	0.0220108290881596	-0.110778142283804	0.274143190267529	0.289661188082698	0.143863392811076	0.240723056690662	0.0595413885301418	0.282220482969312	0.432194946536898	0.37672882326871	0.272269878081634	0.378466600870483	0.276482693862918	0.048130886445062	0.342850340996172	0.291099209781606	0.104685430536966	0.158601511319261	0.106127359032888	0.108320608656056	0.130823982237527
ZINC	0.118862928974367	0.750170579295378	0.486670132217083	0.370793593946093	0.491835146549286	0.544192693508563	0.553280591629324	0.531088468662652	0.368277857786954	0.41872513278741	0.429567546624773	0.221173499875724	0.437862877517347	0.421145769345428	0.188921617117996	0.190651618660788	0.06873231566634	0.327864672600409	0.164634554768194	0.617590236079383	0.731942405894233	0.688541682721244	0.737969338698786	0.541142733447951	0.448094859305121	0.366659390004337	0.532148181013598	0.577252918914102	0.651273591626393	0.434809487995794	0.2629058012628	0.380449290649034	0.175619738060103	0.604449380725976	0.747496365359833	0.624971551113488	0.651422000111775	1	0.593370638368072	0.582315212170639	0.694069396899177	0.604627665794022	0.0881504282142392	0.0567803611203684	-0.125697292560521	0.366365875207219	0.34428266299079	0.218021258655592	0.328591696420356	0.132651769597943	0.412120486382997	0.568302109577646	0.559692884844456	0.516725958714902	0.522053562441706	0.322404243053278	0.0292812920437312	0.369302024327563	0.293268752953569	0.160097082149917	0.327541978797875	0.0365373225639113	0.0809524860063454	0.0583449876642608
COPP	0.0506984227806537	0.588701591821181	0.58010874513571	0.374636112643932	0.754651147340914	0.516147921003958	0.375461043652311	0.524311645443442	0.523277520230912	0.254508371861587	0.608393508441687	0.231972025891437	0.307162169823581	0.4233083952279	0.216779287522489	0.332036563446621	0.23587240459755	0.260811323028713	0.256626670239192	0.552197861635568	0.496805527513443	0.492803727362454	0.605510080082513	0.572776503785538	0.286459486792917	0.621649385319651	0.497231773900237	0.463048853343927	0.396399014525589	0.15595471325098	0.477840645931464	0.321580816190099	0.363894757033975	0.479037179295404	0.677582823374466	0.858614135077363	0.57280910508987	0.593370638368072	1	0.481785886265724	0.752986471277088	0.561907123976117	-0.0325306658298469	0.202679966791886	-0.11804019024725	0.262661984270899	0.240214935510121	0.114471249241014	0.207051084412779	0.0476740433804466	0.223154915048538	0.418052736169718	0.358204641116374	0.28930908369773	0.532528672984645	0.404144380485464	0.125174340799075	0.520094490780845	0.490989743933144	0.220094013957676	0.18449061163346	0.216958913154587	0.121863131438795	0.221723867697449
SODI	0.159730702174597	0.786496115692007	0.601896464630242	0.312615065610724	0.400062265911033	0.785755922055151	0.714896235847474	0.734499792868875	0.688442805304719	0.591284234577576	0.581484725475647	0.151831292612185	0.284889217272517	0.350954369753581	0.284237395815579	0.232116368083806	0.0868021404290598	0.302075331739936	0.0704892932682768	0.694038042358731	0.58085037366399	0.627705458533701	0.478136454510648	0.389501342561088	0.257127248709239	0.345021609432605	0.359721094315932	0.658016590584076	0.418454857341017	0.0195332699917377	0.196790380198159	0.320161242934746	0.165959361979716	0.509337975903524	0.76587216798784	0.4843935175212	0.516785320517806	0.582315212170639	0.481785886265724	1	0.642004389674853	0.765780745874345	0.116620413392882	0.0756600062845822	-0.0409952037508121	0.343263035878555	0.343969951580571	0.183250371051314	0.330034787367862	0.104331549306264	0.439904042183805	0.789412288020738	0.749754801799566	0.65857213266811	0.725825982448991	0.536213038040458	0.108288926676036	0.683281133134302	0.601274841205562	0.16802242270306	0.550348819958653	0.19605625853149	0.307446316305275	0.243817393395939
POTA	0.070504907187741	0.736035757315049	0.722166416796182	0.565938951629779	0.696208889577555	0.589413969445885	0.515928878854006	0.569725750066354	0.510464174544705	0.373944784189623	0.603598499578318	0.149632990298682	0.420068015422214	0.518857572779221	0.249472525738017	0.360905180397436	0.252000594063111	0.373304228280375	0.23200719553862	0.701764458050676	0.739519372219513	0.63773153913944	0.734447735781101	0.593434115102348	0.29659572106832	0.644224463228054	0.514932018577472	0.647136753933825	0.535653049326779	0.16128347598306	0.58324209846696	0.547893851914966	0.298760394069675	0.609203210654927	0.823404632164186	0.830103917682794	0.582955159013173	0.694069396899177	0.752986471277088	0.642004389674853	1	0.63991810234871	0.185699753111259	0.190720947452033	-0.0269895755505033	0.363934955533468	0.343128420656566	0.16242381488589	0.287441426635817	0.0655500816539278	0.338142425545091	0.564312857850332	0.511786729928481	0.432918401105794	0.569370528389798	0.48408848931422	0.109949279817129	0.503628236631469	0.452436332114953	0.20669245726673	0.353533403737907	0.251756977327075	0.269727268533994	0.31035004173606
SELE	0.122477691943301	0.880240181623466	0.524264186720703	0.292221798807356	0.397700254332768	0.668456433915517	0.582326834876653	0.6401514352315	0.583787201978918	0.656894604459785	0.588962051271086	0.189034829043575	0.281316739871464	0.306156987528794	0.144018871549733	0.176745130534752	0.149709582355253	0.228362099743845	0.11491342741339	0.639673221534633	0.612766320717122	0.712543929153249	0.557204610418552	0.414388219925453	0.238187688749211	0.411004609541836	0.370598738997827	0.718782166201795	0.531967981106625	0.049502439618632	0.263213370582522	0.434059880128583	0.186710285631556	0.53832130163131	0.794677935123988	0.587061109167237	0.463887940916196	0.604627665794022	0.561907123976117	0.765780745874345	0.63991810234871	1	0.0612143431362284	0.0818926404741364	-0.0607496409448856	0.308089092280835	0.305484178610462	0.154658962704905	0.278287667874477	0.0648338430268364	0.359343519178291	0.641939761070034	0.605231804414123	0.57191456970171	0.633429015826514	0.523640049287692	0.138550969388092	0.57448207705184	0.495893376271579	0.231715176363546	0.60931346023151	0.313000553285826	0.337638540310334	0.429359730713072
CAFF	0.224315500565606	0.0796014529830205	0.153863936482924	0.18800396755043	-0.0686266296803822	0.091795129315744	0.121215433725862	0.0893190633394515	0.0106205673385402	-0.0106742545319823	0.0677994040295057	-0.049305658301436	0.0232732204731893	-0.0198507046466419	0.0374920473260357	-0.0609580581519001	-0.103453092217166	0.24450378578359	-0.0526478784897157	0.179254067447529	0.409541201459952	0.190829773723637	0.00721204787287361	0.0680249530689483	0.118027149804048	-0.0305673855974875	0.0886825127123047	0.0546864088345969	0.040143937325372	-0.0334335574220118	-0.11989637278048	-0.00821400927584084	-0.0545784878296206	0.0812593396356672	0.112234355457089	0.117467437352974	0.0477467408770817	0.0881504282142392	-0.0325306658298469	0.116620413392882	0.185699753111259	0.0612143431362284	1	0.050242240838516	-0.0195798186594775	0.0853749039496454	0.0772756982505086	0.0182700059791074	0.0579777682114324	-0.0165457179439377	0.0841831850696562	0.131288063439123	0.139807336071725	0.0460889240437806	0.0861260789853235	0.0478774128776179	-0.0718834816928283	0.0161567887652652	-0.0308673153626427	-0.0215868419508908	-0.0101025953394155	-0.0929170499705028	-0.0330614946427863	-0.076693870408782
THEO	0.0119802972362192	0.182204675982386	0.193600212777539	0.249911804849508	0.0928454578956134	0.241064737465018	0.246948110420569	0.239649753416599	0.159125244718849	0.102965321460963	0.222947305249546	-0.0219643619122057	0.0330269657579272	0.0142347442436657	-0.0692927003358585	-0.00382076681936856	-0.0697306892829123	-0.037907609194522	-0.0393283532225394	0.0241579827549888	0.128974661138297	0.100088792634691	0.048172312551066	-0.0407172448581229	-0.104710656927767	0.0608644247952147	-0.0653305687734367	0.125178375559798	0.0985761955160269	-0.0666417675795813	0.049817839504684	0.0415679436243307	-0.0261077055012768	0.0511297007425722	0.197670192612681	0.223258650409051	0.0220108290881596	0.0567803611203684	0.202679966791886	0.0756600062845822	0.190720947452033	0.0818926404741364	0.050242240838516	1	-0.0690419550006332	0.111835572860327	0.142286425718365	0.257122516110915	0.220760526394687	0.289602154363789	0.194928729753385	0.197066816935582	0.210460748691885	0.0883359826870032	0.242775148908866	0.277653127316017	0.149559293346511	0.167333355944391	0.0486813589447573	0.0563141909037897	0.092917384970042	0.102033719452818	0.0517091285889416	0.118006722170771
ALCO	-0.203934887867249	-0.0944685548425334	-0.078170919672009	-0.0972361864711948	-0.199337069323945	-0.0865853824408711	-0.113426396524139	-0.0645991033070015	-0.0473070018803562	0.0315734218268572	-0.0679141573849956	-0.00676017553291634	-0.160289745774562	-0.16616002912107	-0.08399996753386	-0.0877550005323681	-0.0349638194709488	-0.0169944420028516	-0.0263139421402778	-0.108056170463332	-0.105506488591275	0.0530992640929423	0.0364618397359759	-0.0550307661556526	-0.111012462141988	0.0439183110813605	-0.0770720086685167	0.163035416666194	-0.117218898614467	-0.0798581794624071	0.0422294188066902	-0.108012019973963	-0.0455277599107074	-0.202721701164019	-0.0976342154447605	-0.0271623887501729	-0.110778142283804	-0.125697292560521	-0.11804019024725	-0.0409952037508121	-0.0269895755505033	-0.0607496409448856	-0.0195798186594775	-0.0690419550006332	1	-0.171246340691485	-0.155933292034435	-0.143960836129666	-0.167693045216883	-0.101231459171794	-0.171289751076609	-0.0899336015073547	-0.0550742227429459	-0.0630813042885022	-0.0606835592180655	-0.0233311035573702	-0.0567140484381036	-0.0416619539241727	-0.0880523728956747	-0.0957899654772951	0.0609313628663749	-0.0903813622225673	-0.0508561337383358	-0.0507883161324385
S040	0.0362982666284702	0.377026952528197	0.387638764466857	0.352913553867397	0.230584976685712	0.497296595373141	0.718900534672931	0.372713221303591	0.211816568605641	0.240408258315382	0.183854708383062	0.0219059944077074	0.436738760163126	0.391774995071698	0.114272702375113	0.151977384892623	0.0204070871319696	0.176509688641692	0.105169708163675	0.338764427169753	0.439322491905349	0.173807515516397	0.183786248400416	0.192090926861214	0.186503129372026	0.0968922800312251	0.198315993764569	0.242695550919794	0.276067523090942	0.020158583765225	0.0948738293976639	0.261311965475313	0.13220625668371	0.570607026926008	0.465767117053663	0.301344967319236	0.274143190267529	0.366365875207219	0.262661984270899	0.343263035878555	0.363934955533468	0.308089092280835	0.0853749039496454	0.111835572860327	-0.171246340691485	1	0.955307097930939	0.584878061833372	0.854808191172071	0.311887245027897	0.86784601527092	0.625248242385214	0.607045051160705	0.396512834241566	0.363530137720031	0.120897372375412	0.00655772580487175	0.206384658472026	0.237989366384634	0.206059303096641	0.0658843556262003	0.0295101193503291	0.0246459978601946	0.0182196276360844
