Food	Axis	correlation	pval	qval	Significance
Beans dry cooked NS as to type fat not added in cooking	Axis.59	-0.0886776038914694	0.0186897823245158	0.056043918698276	*
Beans dry cooked NS as to type fat not added in cooking	Axis.60	-0.0550451709187044	0.144844933030611	0.235798164081699	*
Beans dry cooked NS as to type fat not added in cooking	Axis.61	0.0478663519243431	0.204939524098559	0.300323611112516	
Beans dry cooked NS as to type fat not added in cooking	Axis.62	0.10177175599051	0.00692136229289821	0.0250076762189306	*
Beans dry cooked NS as to type fat not added in cooking	Axis.63	0.0124725537713246	0.741306668800355	0.820463361488133	
Beans dry cooked NS as to type fat not added in cooking	Axis.64	0.0779788673065211	0.0387330181511918	0.095064111364395	*
Beans dry cooked NS as to type fat not added in cooking	Axis.65	-0.0935682532539729	0.0130678638373644	0.0434740707887564	*
Beans dry cooked NS as to type fat not added in cooking	Axis.66	-0.0339938443894686	0.368134103551241	0.478965504266196	
Beans dry cooked NS as to type fat not added in cooking	Axis.67	-0.0498425152004573	0.186834832765682	0.281601643750613	
Beans dry cooked NS as to type fat not added in cooking	Axis.68	0.0987990255945142	0.00875884177883639	0.0304727502455492	*
Beans dry cooked NS as to type fat not added in cooking	Axis.69	-0.0791451433895625	0.0359030652301565	0.090023157869471	*
Beans dry cooked NS as to type fat not added in cooking	Axis.70	-0.0701130760312852	0.0631736756947159	0.140004807673357	*
Beans dry cooked NS as to type fat not added in cooking	Axis.71	0.0841148239816463	0.0257330057797615	0.0702359687165255	*
Beans dry cooked NS as to type fat not added in cooking	Axis.72	0.0606937895260646	0.107865221339508	0.196454586114317	*
Beans dry cooked NS as to type fat not added in cooking	Axis.73	-0.0614582862495291	0.103492329626462	0.191678230669514	*
Beans dry cooked NS as to type fat not added in cooking	Axis.74	0.0451879522647813	0.231462817222245	0.329019057825107	
Beans dry cooked NS as to type fat not added in cooking	Axis.75	0.0261544642221262	0.488719001814198	0.592973674648221	
Beans dry cooked NS as to type fat not added in cooking	Axis.76	-0.00993775446571542	0.792528470797987	0.860671470627624	
Beans canned drained NS as to type fat added in cooking	Axis.1	0.0619316138638583	0.100856175933257	0.188380266127758	*
Beans canned drained NS as to type fat added in cooking	Axis.2	0.0470533520346589	0.212746189208165	0.308892792766539	
Beans canned drained NS as to type fat added in cooking	Axis.3	0.0619317721576554	0.100855303346574	0.188380266127758	*
Beans canned drained NS as to type fat added in cooking	Axis.4	-0.0619316914062761	0.100855748483786	0.188380266127758	*
Beans canned drained NS as to type fat added in cooking	Axis.5	0.0401718368286005	0.287484593513568	0.393306048481628	
Beans canned drained NS as to type fat added in cooking	Axis.6	-0.0455652495557786	0.227586013615451	0.325266199971305	
Beans canned drained NS as to type fat added in cooking	Axis.7	-0.0213877631817697	0.571302749646817	0.668517032970591	
Beans canned drained NS as to type fat added in cooking	Axis.8	0.00669529781299363	0.85934643233708	0.91409244057477	
Beans canned drained NS as to type fat added in cooking	Axis.9	0.00725324286737327	0.847762695031704	0.904170810476591	
Beans canned drained NS as to type fat added in cooking	Axis.10	0.0645352077355427	0.0872966350448886	0.176677570351486	*
Beans canned drained NS as to type fat added in cooking	Axis.11	-0.0637912827275593	0.091012037886978	0.179740669345534	*
Beans canned drained NS as to type fat added in cooking	Axis.12	0.0643492295323832	0.0882138224897408	0.177312704060799	*
Beans canned drained NS as to type fat added in cooking	Axis.13	0.0487269178293589	0.19690481516545	0.291163526668815	
Beans canned drained NS as to type fat added in cooking	Axis.14	-0.0435194376633855	0.249167673129068	0.348898424161826	
Beans canned drained NS as to type fat added in cooking	Axis.15	0.0325465837805811	0.388887009284114	0.497884055743713	
Beans canned drained NS as to type fat added in cooking	Axis.16	-0.0591417769208146	0.117190724557864	0.206136059581471	*
Beans canned drained NS as to type fat added in cooking	Axis.17	0.00390558877214628	0.917669740692601	0.956285630490067	
Beans canned drained NS as to type fat added in cooking	Axis.18	0.0431474576564765	0.253240300313257	0.353814046310621	
