Variables	Min	FirstQu	Median	Mean	ThirdQu	Max	SD
VC	5	31.25	61.9	79.1813168528643	109.45	395.1	63.2424811416137
VD	0	1.85	3.5	4.6279296410744	5.85	49.8	4.51770933531752
VK	1.9	48.025	77	118.413180413596	130.575	2378.6	147.634243460939
CALC	78.5	574.25	813.5	894.743522700261	1114.25	4356.5	446.863861871108
PHOS	196.5	948	1238.5	1310.65295935346	1595.25	4525.5	507.028740604998
MAGN	49	204	271	289.569764677918	351.5	1480	120.362209210792
IRON	1.35	9.25	12.465	13.7225623960067	16.8425	77.97	6.6228742599776
ZINC	1.78	7.0825	9.71	10.6267138103161	13.05	105.23	5.30431492933572
COPP	0.2265	0.8065	1.0715	1.19548716425006	1.4145	18.9055	0.803414653832673
SODI	418	2386	3177.5	3375.81946755408	4100.75	11191.5	1373.27251398929
POTA	483	1839.5	2395.5	2517.03791300214	3060	7730	944.408243937966
SELE	10	77.425	104.9	112.523639172807	137.5	383.1	48.833985330877
CAFF	0	22.5	85	130.746137390064	181.5	1358	155.34358394057
THEO	0	0	7.5	29.0330401711433	37.5	787.5	52.9649764669863
ALCO	0	0	0	6.96190872355598	3.05	427.45	18.9568528553402
MOIS	427.025	1871.27	2524.575	2750.23057404326	3395.07	11728.54	1227.22999990798
S040	0	0.1975	0.3745	0.458867245067744	0.62175	3.0825	0.365403270310986
S060	0	0.131	0.245	0.29572058473972	0.40125	2.162	0.232168528661297
S080	0	0.113	0.205	0.258995364868077	0.3315	3.847	0.238306406902956
S100	0.002	0.2275	0.407	0.483829450915141	0.64775	3.684	0.361211015031628
S120	0.0025	0.298	0.559	0.86799797955788	1.00025	25.2065	1.20409900594911
S140	0.0445	1.061	1.829	2.10251770858094	2.78325	13.2145	1.42933663065776
S160	2.188	9.0445	12.803	13.9145408842406	17.46325	43.474	6.58216525344607
S180	0.5155	3.7915	5.502	6.04272890420727	7.70525	20.45	3.07752457579748
M161	0.0665	0.668	0.996	1.11550522937961	1.41775	5.151	0.626788490852066
M181	3.684	16.935	23.832	25.6718747325885	31.9805	98.2125	12.066437370668
M201	0.0075	0.16375	0.2545	0.301953529831234	0.383	2.077	0.207151164058002
M221	0	0.0045	0.013	0.0296490373187545	0.031	2.376	0.074850257954999
P182	1.145	10.15275	14.514	16.0154450915141	20.1385	72.9335	8.21131340355586
P183	0.162	1.05125	1.516	1.73224970287616	2.17275	16.064	1.03587720526532
P184	0	0	0.0015	0.0116404801521274	0.0045	0.528	0.0287350510091401
P204	0	0.0835	0.1365	0.157342999762301	0.2085	1.0925	0.105692148500812
P205	0	0.004	0.008	0.0316007844069408	0.0175	1.7655	0.0820624200905059
P225	0	0.0095	0.016	0.0234421202757309	0.027	0.631	0.0304964028821614
P226	0	0.006	0.025	0.0685953173282624	0.06225	2.908	0.146470634467235
F_CITMLB	0	0	0	0.22801347682434	0.2592	6.4387	0.528968077355098
F_OTHER	0	0	0.2013	0.49290881281198	0.782691	5.72251	0.69203434932003
F_JUICE	0	0	0.006003	0.259251288566675	0.34004	4.2948	0.495853606221808
F_TOTAL	0	0.1113	0.7024	0.980173578202995	1.45662375	9.4075725	1.06092064173781
V_DRKGR	0	0	0	0.154641598645115	0.1645665	3.359083	0.331916576687497
V_REDOR_TOMATO	0	0.056988	0.1882	0.268067728428809	0.38215	2.896934	0.292270963579184
V_REDOR_OTHER	0	0	0.008333	0.0966891118374138	0.1146405	4.1576475	0.195070109081756
V_REDOR_TOTAL	0	0.11089775	0.27225	0.364756840266223	0.5126125	4.1576475	0.355384084856279
V_STARCHY_POTATO	0	0	0.17875	0.354858623365819	0.52	5.077437	0.489751311372782
V_STARCHY_OTHER	0	0	0	0.0887812844069408	0.087813	3.1624	0.212545781782742
V_STARCHY_TOTAL	0	0	0.285702	0.44363990777276	0.637649	5.5949	0.537815779192102
V_OTHER	0	0.14646575	0.3657965	0.515493761231281	0.720004	4.6257	0.520956713548341
V_TOTAL	0	0.7606135	1.273263	1.47853210791538	1.98535575	9.4561915	0.986060520955638
V_LEGUMES	0	0	0	0.144812597100071	0.190862	4.0719375	0.293060123617711
G_WHOLE	0	0	0.4505	0.899103925124792	1.3068	13.56795	1.22242729020388
G_REFINED	0	3.161431	4.912	5.49989653529831	7.20329525	31.5648	3.2762445644122
G_TOTAL	0	4.01409675	5.811175	6.39900045994771	8.18104675	31.5648	3.3590927609734
PF_MEAT	0	0	0.9739515	1.51678024696934	2.3041	19.8186	1.86023809968865
PF_CUREDMEAT	0	0	0.4032	0.875982630496791	1.28611375	11.1315	1.2484967196635
PF_ORGAN	0	0	0	0.0232667827430473	0	6.886	0.2455937328716
PF_POULT	0	0	1.0556	1.60574741086285	2.45	16.124359	1.92216083779736
PF_SEAFD_HI	0	0	0	0.191109300689327	0	10.5213	0.791573084510733
PF_SEAFD_LOW	0	0	0	0.513863499524602	0.145275	21.3974	1.38713722762492
PF_MPS_TOTAL	0	2.60357875	4.1368	4.72674987247445	6.25645	30.6141575	3.08182075016892
PF_EGGS	0	0.03511175	0.30265	0.60885244366532	0.989366	7.902	0.74814740393755
PF_SOY	0	0	0	0.0775722186831471	0	5.928	0.337270875190003
PF_NUTSDS	0	0	0	0.643536971000713	0.6345	20.32935	1.39158117865624
PF_LEGUMES	0	0	0	0.581430553125743	0.769892	16.3591925	1.1769481641741
PF_TOTAL	0	3.624903	5.3768125	6.05671150724982	7.8339445	30.7785275	3.52325452355789
D_MILK	0	0.09514425	0.36585	0.62064912063228	0.9069	7.62805	0.743032538216879
D_YOGURT	0	0	0	0.0655399216781554	0	2.51125	0.189748684309443
D_CHEESE	0	0.0746825	0.423	0.629402262895175	0.9114075	6.8890525	0.72021955536327
D_TOTAL	0	0.55950625	1.099283	1.34793635393392	1.8635625	8.462675	1.08454438890752
OILS	0	14.7255035	23.42025	26.4868671077965	34.73426125	125.5370145	16.1156060074779
SOLID_FATS	0	17.84561375	28.631254	32.2100731522463	42.5070145	129.643074	19.5530935476491
ADD_SUGARS	0	6.520697	12.01795	15.0143321196815	20.10928675	90.8138725	11.8928160472342
A_DRINKS	0	0	0	0.498211020917518	0.219375	30.525	1.35570029551978
NoOfItems	3	11.5	14.5	15.2814357024008	18.5	42.5	5.09259903563917
