Food_code	DR2IGRMS
92171000	449.5
58100120	556
74401010	15
92410550	241.5
51300110	72
42202000	64
92530610	155
27214100	61.25
74406010	62.5
72125211	67.5
74402150	5.19
14104115	28.25
72201100	33
94100100	525
53521230	70
94000100	195
58104750	318
41811890	35.25
93106500	435
71200140	26.56
64100200	542.5
53209005	14
94000100	120
53121275	196.35
13110100	296
64100200	356.5
94000100	600
92302000	150
31105030	92
94000100	300
42110150	71
94000100	300
24143210	65
24123110	75
21602100	22.5
94000100	600
63105010	100.5
11114330	244
92191200	0.9
51166000	56
63107010	118
27243000	171.5
94000100	150
64120010	149.5
91101010	12.5
83106000	4.9
75113000	16
74101000	15
26151160	113
93301200	105
13120730	78
94000100	75
92161000	120
24168000	350
58407030	4.85
23322300	8.11
94100100	360
51301010	56
63107010	118
92101000	525
12210505	5.88
57214000	56.31
11111000	122
94000100	360
14640030	116
54401021	18
83112500	14.69
94000100	360
21103110	104
58163380	196
83104000	62.5
75114000	52.5
63203010	8.16
75109000	10
73101010	20
74101000	20
31103010	10
51166000	228
91406000	20
94000100	240
94000100	480
56203066	485
94000100	240
27111000	249
56205008	158
75210021	87.5
94000100	120
94000100	240
27111000	249
56205008	158
75210021	87.5
11112110	152.5
51161270	93
41104011	101.25
31105030	40
52215100	56
92530410	108.5
51161270	93
92610020	124
94100100	480
53244010	70
54401065	76.56
54328100	42
92101000	960
12120100	30
91101010	31.25
26127140	216
75511010	5
71401010	120
74401010	60
94100100	480
71401010	30
13110100	148
92101000	240
91101010	3.5
12210200	30
22600200	16
31105005	46
51180030	105
63105010	20
74402150	2.59
94000100	180
22600200	16
52104010	30
94100100	507
21101130	113.4
41205011	84.32
52215100	28
94100100	507
53210900	19
94100100	507
94000100	315
56203056	435
63203600	155
57412000	7.06
43104000	9
94000100	315
92302000	240
92101610	240
94000100	315
61119010	184
63101000	223
63107010	136
74303100	155
92302000	240
94000100	315
94000100	315
92302000	240
11320100	320.25
42101130	12
93401010	240
94000100	240
83112500	29.4
72125100	45.31
56205000	167.88
41304980	143.44
71704000	66.41
41205070	45
94000100	315
94000100	240
94000100	240
64104010	108.5
58106512	100.14
53260030	80
13110100	74
54401110	28
92410510	155
11111000	244
53521110	64
63101000	74.5
75113000	13.13
11112110	244
24198735	64
58101320	115
14104100	2.35
74402150	1.3
94000100	345
92410360	77.5
94100100	2028
58100800	595
12310100	43.13
75113000	52.5
74402150	15.56
92103000	195
91101010	12.5
53242000	16
11113000	442.25
57128000	13.5
11112110	533.75
24198735	96
75506100	10
51150000	43
11511300	155
11112110	442.25
91726420	51
54401110	28
27120030	197.25
51154100	52
92410310	620
41201020	127
92101000	195
12120100	5
91101010	3.5
25221830	35
52102040	33
81101000	9.46
61210250	124
94000100	240
54325000	12
14104100	36
74603010	106.75
75649110	102.38
52202060	66
94000100	240
71801000	213.5
54325000	12
94000100	240
92309000	161
51320070	52
24198720	60
75506010	5
74101000	20
11511000	124
61210220	124
63149010	142
94100100	507
92102600	248
12140000	30
53206000	15
54403006	2
92510610	542.5
58407030	370
61204000	5.17
74402150	5.19
92410510	372
94100100	507
58163410	318.94
92306000	195
24122151	33.75
72116000	23
41104020	45
56205002	40.75
74402110	32
94000100	195
63101000	182
58101347	309
74402350	15
75117020	10
75109550	0.33
32131200	172
61210250	201.5
21000100	105.88
61210250	201.5
52215100	84
24147302	120
92410310	124
52215100	84
13120730	143
94000100	345
57125000	52.5
11112110	244
92530610	209
54401081	25.2
63101000	182
58407030	174.75
94000100	345
71505050	64
74401010	10
75205045	51.2
27564064	102
74401010	10
11000000	NA
11000000	NA
11000000	NA
94000100	1.25
27560350	20
55101000	1.12
11000000	NA
11000000	NA
63101000	31.25
58100255	0.91
13110120	0.77
41603010	1.29
63101000	7.81
11000000	NA
61204010	1.72
63101000	2.6
53204100	3.25
11000000	NA
27564060	25.5
75506010	2.5
75503020	2.55
61204010	1.72
94000100	1.67
57241000	48.56
11112110	198.25
73101010	96.25
63107010	118
14107030	28.35
58146322	453.13
94000100	150
26125160	204
56205008	138.25
94000100	315
61125010	76
11111000	610
57125000	20
14107030	28.35
25221500	84
51160000	7
94000100	480
25220350	37.5
74401010	5
63115010	138
94000100	240
92101000	480
56203066	242.5
91101010	8.33
11112110	122
32300100	221.13
75649110	212.06
94000100	240
51107010	128
81104020	4.83
94000100	240
24122161	80
72201212	184
14204010	113
63141140	48
71508005	315
74101000	30
51107010	128
94000100	180
94000100	240
25220105	70
32130070	88
51101010	50
94000100	2400
56130000	140
71601025	275
26215120	114
58106220	86
71202500	28
51180010	105
32130070	102
51101000	56
25230210	84
14108400	21
63101000	182
73101010	150
95106000	368
94100100	870
58106725	144
58101345	262
53206000	30
11112210	625.25
57125000	22.5
11112110	244
58101620	117
11112110	488
63137010	37.5
71401033	15
58104710	282
92308000	325.5
27560910	260
54401055	8.75
92308000	449.5
56203175	326
92101000	510
91101010	16.67
94100100	720
58407030	370
92410310	372
22101220	37
71403020	100
41201010	126.5
92410310	372
13140900	73
94100100	1440
11000000	NA
11000000	NA
94000100	60
57805000	7.6
11000000	NA
11000000	NA
11000000	NA
76205060	113.4
11000000	NA
57151000	34.13
11114330	152.5
91101010	4.17
94000100	240
71200200	96
12350220	60
92410310	372
92308000	264.5
11514120	248
91723000	12.5
91707010	21
21407120	201
71104080	170
73102211	28
94000100	240
92410550	1364
27510251	225
71200200	64
92410360	372
14107030	56.7
92309000	930
94000100	3840
32131090	150.75
95322500	120
92101610	360
91108000	0.38
11350020	61
91721000	22
58101450	182
74402150	10.38
63105010	9.13
24168001	105
83112500	7.34
75109000	24
83112500	7.35
93102000	720
11710054	152.5
11710054	152.5
11710054	152.5
11710054	152.5
11710054	152.5
52215100	1.13
94300100	60
95230020	12
94000100	120
51101000	56
25230210	56
83107000	18.33
63105010	20
14410110	21
11112210	442.25
63107010	118
54401122	30
63101000	182
42202000	32
58106555	248
58106625	138
51184000	10
24167300	55
94000100	315
92410310	333.5
32130020	122
51301020	18.75
91401000	20
61210820	248
56201052	315
53240000	56
11434200	153.13
92530410	248
27564180	102
75506010	5
71200120	28
94000100	240
63107010	118
63123000	151
11112110	244
24147300	85
83210100	15
75113000	14.47
74101000	42.53
75109000	11.81
75117020	1.05
94000100	240
24208500	33
51101010	50
81101000	5
64116060	325.5
51320500	36.5
21420100	13.38
83107000	4.58
75113000	1.09
14410110	10.5
14108400	10.5
94100100	480
26115123	92
92510960	184
24198683	100
92101000	360
91101010	8.33
94000100	1740
57241000	48.56
11112210	320.25
61210220	325.5
63107010	118
27311410	252
54408016	22.5
58146322	453.13
55203600	75
91304090	6
94000100	480
58146603	250
14108020	1.67
53206000	80
22701020	67
71501010	250
72201211	156
94000100	180
92101000	720
91101010	8.33
12210400	3.92
31103010	50
75503010	14
51101000	56
83107000	27.6
74101000	60
71200140	6.25
94000100	180
27317010	453.6
94000100	60
57339000	26
11112110	122
94100100	253.5
92103000	600
11112110	61
42302025	112
94100100	253.5
42111100	73.5
94100100	253.5
27446205	226
75113060	30
51301010	86
92308000	620
94100100	253.5
56203175	272
11553110	283.5
51301020	25
75113000	17.5
75111000	59.5
74101000	90
73101010	55
14010000	7.06
94000100	150
26158013	170
56205012	98
75113000	17.5
72201100	44
75107000	53.5
72125100	12.5
94000100	150
41104020	59.99
63402960	91
57227000	3.47
51301010	28
25230210	28
83204000	5.21
75113000	11.67
74101000	59.99
63105010	36.5
14410110	21
94000100	150
57308400	30
11320000	244
94000100	150
73102211	312
92103000	480
91101010	8.33
63123000	226.5
54202020	75
91745020	24
63219020	15.38
58101345	206
92410510	124
21304110	264
52215200	90
58163405	30.38
54202020	21
94100100	120
57213000	38.06
11113000	320.25
63107010	118
53240000	42.53
51300110	72
25220410	56
74401010	2.5
14410110	21
71200100	28
94000100	315
63101000	91
91708030	22.68
24198731	64
